Arts_and_Entertainment,Autos_and_Vehicles,Beauty_and_Fitness,Books_and_Literature,Business_and_Industrial,Computers_and_Electronics,Finance,Food_and_Drink,Games,Health,Hobbies_and_Leisure,Home_and_Garden,Internet_and_Telecom,Jobs_and_Education,Law_and_Government,News,Online_Communities,People_and_Society,Pets_and_Animals,Real_Estate,Reference,Science,Shopping,Sports,Travel
95,93,97,99,97,100,94,65,98,87,90,94,86,96,100,90,52,52,95,96,93,90,82,78,90
100,90,92,100,100,90,98,66,91,89,93,90,84,95,100,94,53,51,97,93,98,99,78,81,88
94,94,90,94,94,87,93,60,94,91,94,95,82,90,97,93,48,49,98,95,95,95,77,84,90
98,99,100,97,100,90,96,62,86,93,100,100,96,99,98,100,51,51,100,97,100,100,79,86,90
95,94,90,92,90,86,78,58,90,86,95,91,90,91,86,89,49,46,88,93,91,87,76,76,91
93,94,89,72,89,84,86,58,85,80,94,86,88,93,83,91,47,47,84,93,74,73,79,78,96
92,99,91,61,89,89,88,61,90,86,96,85,95,97,81,88,53,49,84,99,72,68,75,82,100
90,100,91,66,92,93,86,62,89,83,86,82,87,99,93,90,53,50,81,100,75,73,83,100,95
90,88,82,82,95,88,79,55,85,82,84,85,82,98,98,91,63,47,86,82,83,86,76,81,82
91,82,80,84,89,81,82,60,87,84,88,80,78,89,95,93,67,47,91,76,87,90,80,82,74
90,80,84,90,80,88,79,67,96,85,89,80,81,88,94,88,66,50,90,73,86,77,86,74,71
100,85,87,87,79,84,80,74,100,80,98,83,81,97,81,81,41,52,85,68,81,70,99,75,72
92,83,95,83,86,84,92,62,87,85,83,86,84,98,94,85,50,51,88,89,86,77,77,79,84
96,81,92,90,91,82,95,65,80,89,82,88,81,97,90,91,48,50,90,91,91,84,77,75,89
92,87,87,84,88,76,89,64,84,87,82,85,80,90,87,85,43,49,89,92,82,75,74,79,85
93,87,88,88,90,70,88,58,84,86,84,92,82,88,90,86,45,48,88,89,98,79,71,77,81
97,85,85,80,79,73,78,58,87,80,87,88,84,89,83,81,44,50,85,94,88,73,70,71,88
85,87,82,61,81,71,84,57,83,74,82,76,84,88,75,77,44,49,77,94,69,62,71,74,90
92,89,85,64,84,71,82,59,86,76,88,81,89,95,74,78,46,52,81,96,73,59,75,77,93
90,95,89,63,89,75,91,58,80,81,84,82,86,100,91,84,47,56,80,91,79,62,76,81,86
89,81,78,73,83,70,86,57,80,79,77,81,76,97,93,86,51,56,88,81,93,78,75,78,74
91,76,77,76,80,68,79,61,88,81,82,80,74,91,89,83,46,59,85,79,87,78,78,78,74
90,75,79,79,78,67,84,67,93,76,86,78,79,90,82,83,45,61,82,74,86,70,85,80,68
97,75,86,80,77,79,78,74,99,71,94,80,75,95,78,77,46,67,78,74,84,63,100,78,69
90,79,88,74,81,71,95,62,89,77,76,79,78,92,89,77,43,63,81,89,82,65,75,83,76
93,75,83,80,82,68,92,62,88,78,82,81,70,93,85,82,45,67,83,91,87,72,77,87,76
93,79,86,73,80,62,87,59,84,79,74,80,73,85,86,81,46,67,79,90,83,69,68,78,76
87,80,83,76,80,62,93,60,87,76,79,79,81,84,78,78,43,70,81,90,81,67,68,76,75
86,79,82,71,76,58,82,57,86,76,77,79,75,82,77,74,42,66,76,95,80,63,68,75,75
89,81,81,52,79,62,85,58,86,70,77,73,82,87,72,72,45,76,74,92,68,54,71,82,83
88,89,82,48,75,61,85,62,93,69,79,76,82,94,67,69,45,82,71,97,67,49,75,78,84
88,84,81,53,78,59,85,60,87,71,76,76,79,92,81,74,44,83,72,91,75,53,73,78,79
85,74,75,63,76,61,80,63,84,70,76,86,73,85,86,74,44,79,76,79,77,66,73,80,70
89,70,73,69,75,61,80,64,82,70,77,70,74,81,83,75,46,79,80,76,80,66,74,80,65
83,68,70,66,71,61,76,64,93,69,75,67,70,78,76,72,48,78,73,66,73,57,82,72,61
92,65,81,65,68,63,76,73,100,66,90,72,71,87,68,68,46,85,70,64,68,50,93,74,61
85,69,80,60,72,60,100,62,86,69,71,68,76,90,85,74,47,82,72,82,74,56,71,75,69
89,69,82,67,74,59,97,63,86,77,72,71,67,81,77,72,52,80,78,85,77,60,69,72,68
82,74,76,61,76,54,86,59,87,67,66,73,69,83,76,71,49,79,73,80,73,59,68,74,76
88,76,80,65,75,57,95,59,87,77,70,78,73,84,78,79,48,82,68,86,75,58,69,75,70
83,75,76,59,71,52,76,56,81,72,68,73,70,76,73,70,43,79,69,83,70,55,64,70,71
80,72,73,46,65,54,75,56,81,67,65,67,70,84,60,68,42,80,64,81,63,45,63,67,76
88,77,78,56,69,53,78,60,87,64,71,69,70,86,60,68,43,87,71,84,61,40,65,68,78
88,75,78,51,69,55,83,59,84,65,67,69,72,86,75,66,45,89,67,80,63,46,71,73,70
83,65,68,54,66,51,77,55,79,67,66,64,62,81,76,65,45,76,65,66,67,55,63,81,60
83,64,70,57,72,53,79,60,82,70,62,65,64,82,75,66,47,77,71,67,71,60,66,75,59
82,62,70,55,65,55,73,62,89,63,64,61,64,80,70,66,41,77,64,59,65,51,73,69,51
84,59,77,55,63,56,72,65,97,58,74,62,62,83,57,59,46,82,64,56,63,46,83,70,52
83,63,77,55,68,54,86,57,82,68,61,62,60,77,73,68,52,76,65,75,67,49,63,68,61
76,62,74,57,67,53,85,59,85,69,64,66,59,78,72,70,54,71,68,71,69,55,63,68,58
78,63,71,53,64,48,83,53,84,65,60,60,58,75,67,65,46,70,64,70,64,50,63,66,61
80,66,77,57,68,48,79,54,81,65,61,64,64,75,72,68,44,67,67,70,68,55,57,69,59
79,68,68,52,64,45,77,54,84,62,63,64,63,77,64,68,45,72,65,69,64,50,61,59,59
76,66,70,39,62,45,69,54,81,58,61,58,63,76,56,61,43,73,61,69,55,40,57,65,59
77,66,72,38,63,47,79,53,79,64,59,58,62,80,56,60,41,77,58,70,54,37,56,62,60
77,63,71,40,61,46,69,53,79,58,65,58,57,80,66,60,47,77,61,67,62,41,61,89,57
75,57,65,48,61,46,76,49,71,61,54,54,59,79,73,63,58,73,60,58,65,52,57,67,47
75,54,65,53,65,43,78,53,76,59,56,55,50,79,67,66,61,71,64,52,66,52,60,61,47
73,49,60,51,53,43,63,56,84,55,55,55,53,76,59,61,53,76,59,47,57,44,65,58,41
78,51,65,47,54,49,70,57,91,51,65,54,53,82,57,56,44,79,57,47,57,38,74,60,45
72,53,64,44,56,45,76,51,75,55,52,54,50,85,62,63,44,76,59,59,56,42,56,55,48
74,51,68,49,60,42,78,49,75,58,55,54,48,75,63,64,42,76,59,58,67,47,53,55,49
70,53,64,50,58,43,78,48,73,59,52,54,49,78,63,62,41,78,59,58,64,45,50,66,51
72,54,65,49,59,40,72,49,73,55,52,56,51,78,57,60,40,78,58,56,60,48,51,57,47
67,54,64,47,51,39,61,48,74,57,53,53,53,72,56,51,36,78,55,56,55,41,49,55,47
