Sale,Discount,coupon,Promotion,Special_offer,Bargain,Deal,Clearance,Flash_sale,Apparel,Electronics,Home_goods,Appliance,Furniture,Beauty_product,Shopping,Shopping_spree,Retail_therapy,Shopping_experience,Impulse_buying,Comparison_shopping,Brand_loyalty,Loyalty_card,Customer_satisfaction,customer_opinion,Payment_options,Credit_card,Cash_transaction,Online_payment,Retail_store,Brick-and-mortar,Store_layout,E-commerce,webshop,Online_shopping,Online_shop,Online_store,Customer_service,Customer_support,Returns_and_exchanges,Holiday_sales,Black_Friday,Cyber_Monday,Sales_events,Clearance_events,Anniversary_sale,Retail,purchase_+_purchasing,acquire,Buy,procure,consume_,Shopping_cart,shopping_bag
43,95,19,60,86,90,41,64,29,60,100,9,67,97,70,80,40,35,100,0,70,75,24,73,0,24,31,8,23,88,0,100,79,13,33,45,59,9,25,31,29,0,0,59,98,1,94,93,53,50,28,15,92,38
40,85,19,60,71,92,41,57,21,59,85,10,64,86,100,74,52,0,0,69,68,59,39,88,76,19,28,11,20,80,100,90,96,28,32,44,52,8,23,36,0,0,0,63,0,2,94,94,56,47,27,15,89,49
43,83,18,63,72,86,42,53,22,61,80,9,57,81,59,64,50,94,23,57,55,68,0,85,100,37,29,0,24,78,39,81,89,13,30,43,54,7,23,40,15,0,0,0,100,1,94,97,59,45,36,17,90,57
42,82,18,62,58,85,42,51,20,56,75,7,56,81,64,73,46,33,15,0,52,83,0,74,0,23,28,6,24,82,0,77,100,15,29,40,49,8,20,42,16,0,0,49,0,1,91,95,49,45,29,19,100,44
42,88,20,63,65,91,39,51,21,55,77,8,65,87,33,72,58,0,26,0,47,34,19,74,46,22,29,7,19,79,0,75,85,0,31,38,54,8,22,27,10,0,0,0,0,2,88,95,46,47,18,14,85,39
41,96,20,73,78,94,37,58,29,56,83,11,65,90,71,74,44,0,28,0,53,24,66,100,37,26,32,5,27,81,0,45,69,24,30,41,52,9,25,25,19,0,0,65,40,2,90,91,38,51,7,17,89,39
48,100,22,66,69,100,38,64,36,63,90,15,68,100,75,81,55,0,0,0,56,84,26,81,85,28,34,0,28,89,0,70,71,8,31,39,58,10,27,25,80,0,0,45,0,4,95,87,48,53,24,15,90,34
44,94,21,68,79,95,37,67,23,63,84,11,70,96,80,77,47,28,0,0,56,31,45,85,0,26,34,0,26,87,0,25,64,8,30,44,57,10,27,24,87,0,0,44,0,3,97,94,46,51,28,17,86,66
39,81,19,63,76,86,36,57,25,65,79,10,62,85,80,70,78,0,16,50,40,50,0,78,39,12,33,9,29,81,0,42,74,23,29,40,56,9,29,22,22,0,0,54,0,2,89,92,47,48,22,19,84,60
37,79,21,62,73,92,36,56,17,65,80,9,61,79,47,72,60,0,16,0,45,75,25,92,75,36,32,13,20,77,0,66,76,17,30,39,54,9,25,24,16,0,0,47,0,2,92,88,55,48,14,18,82,42
39,89,25,74,87,91,38,56,29,74,88,10,67,85,45,94,86,68,12,48,83,30,45,73,34,9,32,0,24,94,0,76,78,0,43,42,56,8,25,48,67,3,0,68,0,0,94,91,44,59,13,21,88,63
37,87,32,76,99,82,37,55,28,77,96,10,65,74,52,100,90,18,20,0,100,71,38,63,47,13,34,0,25,100,64,59,62,24,41,43,66,9,24,25,72,0,0,48,43,2,100,100,46,68,12,19,90,67
40,81,22,75,83,79,41,59,17,58,81,10,64,90,46,67,44,46,0,0,45,42,23,83,70,25,32,4,24,77,0,35,67,5,28,36,50,9,26,33,29,0,0,41,0,2,84,93,58,49,23,21,78,56
39,77,20,72,74,79,38,55,22,56,74,9,65,83,96,68,86,0,0,0,30,46,36,74,0,18,31,5,26,79,31,100,72,8,25,32,49,9,27,36,10,0,0,50,0,2,80,89,61,46,27,18,78,34
